time_utc,event_type,symbol,timeframe,side,ticket,reason,entry_price,close_price,volume,pnl,swap,commission
2026-05-04T13:03:28.525576+00:00,ORDER_SEND_OK,EURUSD,H4,SELL,735341150,Order accepted,1.17031,0.00000,0.00,0.00,0.00,0.00
2026-05-04T13:03:28.526585+00:00,POSITION_OPEN,EURUSD,H4,SELL,735341150,Detected in open positions,1.17031,0.00000,0.05,0.00,0.00,0.00
2026-05-04T15:32:59.065962+00:00,POSITION_CLOSE,EURUSD,H4,SELL,735341150,UNKNOWN_CLOSE,1.17031,0.00000,0.05,0.00,0.00,0.00
2026-05-05T07:38:33.412917+00:00,ORDER_SEND_OK,EURUSD,H1,BUY,736310165,Order accepted,1.16956,0.00000,0.00,0.00,0.00,0.00
2026-05-05T07:38:33.414880+00:00,POSITION_OPEN,EURUSD,H1,BUY,736310165,Detected in open positions,1.16956,0.00000,0.05,0.00,0.00,0.00
2026-05-05T13:08:55.900071+00:00,POSITION_CLOSE,EURUSD,H1,BUY,736310165,UNKNOWN_CLOSE,1.16956,0.00000,0.05,0.00,0.00,0.00
2026-05-06T08:00:05.349157+00:00,POSITION_OPEN,EURUSD,UNK,BUY,737694152,Detected in open positions,1.17394,0.00000,0.05,0.00,0.00,0.00
2026-05-06T08:33:51.109228+00:00,POSITION_CLOSE,EURUSD,UNK,BUY,737694152,UNKNOWN_CLOSE,1.17394,0.00000,0.05,0.00,0.00,0.00
2026-05-06T08:45:04.380953+00:00,POSITION_OPEN,EURUSD,UNK,BUY,737734798,Detected in open positions,1.17489,0.00000,0.05,0.00,0.00,0.00
2026-05-06T08:50:20.940051+00:00,POSITION_CLOSE,EURUSD,UNK,BUY,737734798,UNKNOWN_CLOSE,1.17489,0.00000,0.05,0.00,0.00,0.00
2026-05-06T10:42:47.889182+00:00,ORDER_SEND_OK,EURUSD,M15,BUY,737914764,Order accepted,1.17787,0.00000,0.00,0.00,0.00,0.00
2026-05-06T10:42:47.889882+00:00,POSITION_OPEN,EURUSD,M15,BUY,737914764,Detected in open positions,1.17787,0.00000,1.00,0.00,0.00,0.00
2026-05-06T10:43:37.896936+00:00,POSITION_CLOSE,EURUSD,M15,BUY,737914764,UNKNOWN_CLOSE,1.17787,0.00000,1.00,0.00,0.00,0.00
2026-05-06T10:48:51.251067+00:00,ORDER_SEND_OK,EURUSD,H4,BUY,737925118,Order accepted,1.17872,0.00000,0.00,0.00,0.00,0.00
2026-05-06T10:48:51.251614+00:00,POSITION_OPEN,EURUSD,H4,BUY,737925118,Detected in open positions,1.17872,0.00000,1.00,0.00,0.00,0.00
2026-05-06T10:53:14.028467+00:00,POSITION_CLOSE,EURUSD,H4,BUY,737925118,UNKNOWN_CLOSE,1.17872,0.00000,1.00,0.00,0.00,0.00
2026-05-07T09:45:00.111987+00:00,ORDER_SEND_OK,EURUSD,M15,BUY,739208378,Order accepted,1.17778,0.00000,0.00,0.00,0.00,0.00
2026-05-07T09:45:00.115081+00:00,POSITION_OPEN,EURUSD,M15,BUY,739208378,Detected in open positions,1.17778,0.00000,1.00,0.00,0.00,0.00
2026-05-07T11:14:45.014510+00:00,POSITION_CLOSE,EURUSD,M15,BUY,739208378,UNKNOWN_CLOSE,1.17778,0.00000,1.00,0.00,0.00,0.00
